N	i	pyomo_ipopt	pyomo_status	pyomo_message	scipy_cobyla	scipy_status	scipy_message	equal_answers	RTO_pyomo	RTO_scipy	MARGIN_pyomo	MARGIN_scipy
10	0	0.03084	ok	optimal	0.00817	1	Optimization terminated successfully.	False	1640.972	1640.972	431.913	431.924
10	1	0.02368	ok	optimal	0.00766	1	Optimization terminated successfully.	False	2409.136	2409.136	531.019	531.013
10	2	0.0225	ok	optimal	0.00836	1	Optimization terminated successfully.	False	1687.395	1687.395	409.896	409.892
10	3	0.02357	ok	optimal	0.00791	1	Optimization terminated successfully.	False	1012.883	1012.883	190.832	190.836
10	4	0.02136	ok	optimal	0.03574	2	Maximum number of function evaluations has been exceeded.	True	1443.214	1443.079	273.34	273.34
10	5	0.02792	ok	optimal	0.04897	1	Optimization terminated successfully.	True	1915.201	1915.129	404.85	404.85
10	6	0.02686	ok	optimal	0.00537	1	Optimization terminated successfully.	False	2423.166	2423.166	666.74	666.74
10	7	0.02463	ok	optimal	0.00781	1	Optimization terminated successfully.	False	2348.033	2348.033	551.957	551.957
10	8	0.0236	ok	optimal	0.03459	2	Maximum number of function evaluations has been exceeded.	True	1540.138	1539.564	303.283	303.283
10	9	0.02413	ok	optimal	0.03478	2	Maximum number of function evaluations has been exceeded.	True	1686.293	1682.436	250.878	250.878
10	10	0.02818	ok	optimal	0.00682	1	Optimization terminated successfully.	False	2521.472	2521.472	474.209	474.235
10	11	0.0244	ok	optimal	0.00587	1	Optimization terminated successfully.	False	2228.23	2228.23	506.831	506.831
10	12	0.02608	ok	optimal	0.00885	1	Optimization terminated successfully.	False	1771.864	1771.864	333.013	332.993
10	13	0.02309	ok	optimal	0.03551	2	Maximum number of function evaluations has been exceeded.	True	1392.018	1391.464	332.392	332.392
10	14	0.02534	ok	optimal	0.02775	1	Optimization terminated successfully.	True	1351.951	1351.909	289.093	289.093
10	15	0.02617	ok	optimal	0.03758	2	Maximum number of function evaluations has been exceeded.	True	2179.327	2177.669	381.65	381.65
10	16	0.02429	ok	optimal	0.00731	1	Optimization terminated successfully.	False	2174.454	2174.454	396.596	396.596
10	17	0.02217	ok	optimal	0.01424	1	Optimization terminated successfully.	True	1330.439	1330.403	257.467	257.467
10	18	0.02274	ok	optimal	0.00985	1	Optimization terminated successfully.	True	1928.036	1927.928	356.593	356.593
10	19	0.02575	ok	optimal	0.00561	1	Optimization terminated successfully.	False	1489.257	1489.257	214.863	214.863
10	20	0.02334	ok	optimal	0.00863	1	Optimization terminated successfully.	False	1571.557	1571.557	281.759	281.748
10	21	0.0254	ok	optimal	0.00581	1	Optimization terminated successfully.	False	1817.426	1817.426	385.799	385.799
10	22	0.02441	ok	optimal	0.00858	1	Optimization terminated successfully.	False	1684.285	1684.285	360.356	360.383
10	23	0.02612	ok	optimal	0.00595	1	Optimization terminated successfully.	False	1462.523	1462.523	317.611	317.613
10	24	0.02367	ok	optimal	0.00889	1	Optimization terminated successfully.	True	2541.41	2541.227	456.642	456.642
10	25	0.02307	ok	optimal	0.00725	1	Optimization terminated successfully.	False	1944.318	1944.318	283.243	283.243
10	26	0.02355	ok	optimal	0.04066	2	Maximum number of function evaluations has been exceeded.	True	2886.456	2884.499	523.639	523.639
10	27	0.03067	ok	optimal	0.00605	1	Optimization terminated successfully.	False	1701.74	1701.74	441.445	441.445
10	28	0.02892	ok	optimal	0.00762	1	Optimization terminated successfully.	False	1839.841	1839.841	357.96	357.95
10	29	0.02155	ok	optimal	0.01879	1	Optimization terminated successfully.	True	1693.329	1693.324	359.943	359.943
15	0	0.02997	ok	optimal	0.01743	1	Optimization terminated successfully.	True	2735.192	2735.048	563.345	563.345
15	1	0.03141	ok	optimal	0.048	2	Maximum number of function evaluations has been exceeded.	True	3290.928	3252.818	488.662	488.662
15	2	0.02599	ok	optimal	0.04314	2	Maximum number of function evaluations has been exceeded.	True	2613.308	2594.508	445.711	445.711
15	3	0.02381	ok	optimal	0.01397	1	Optimization terminated successfully.	True	1838.697	1838.693	258.361	258.361
15	4	0.02563	ok	optimal	0.01483	1	Optimization terminated successfully.	True	2779.077	2778.991	295.425	295.425
15	5	0.02362	ok	optimal	0.01524	1	Optimization terminated successfully.	True	3627.697	3626.072	606.799	606.799
15	6	0.0279	ok	optimal	0.04073	2	Maximum number of function evaluations has been exceeded.	True	2769.602	2735.438	301.736	301.736
15	7	0.02472	ok	optimal	0.01472	1	Optimization terminated successfully.	True	2846.507	2844.78	450.417	450.417
15	8	0.02898	ok	optimal	0.01255	1	Optimization terminated successfully.	False	2720.159	2720.159	161.88	161.88
15	9	0.02977	ok	optimal	0.01579	1	Optimization terminated successfully.	False	2642.008	2642.008	432.141	432.117
15	10	0.03098	ok	optimal	0.01546	1	Optimization terminated successfully.	False	2795.758	2795.758	635.377	635.377
15	11	0.02446	ok	optimal	0.01234	1	Optimization terminated successfully.	True	4181.917	4181.911	712.538	712.538
15	12	0.02552	ok	optimal	0.01047	1	Optimization terminated successfully.	False	2417.873	2417.873	622.302	622.302
15	13	0.02398	ok	optimal	0.01592	1	Optimization terminated successfully.	True	3447.913	3447.611	543.792	543.792
15	14	0.02371	ok	optimal	0.04192	2	Maximum number of function evaluations has been exceeded.	True	2818.676	2809.298	484.096	484.116
15	15	0.02529	ok	optimal	0.04146	2	Maximum number of function evaluations has been exceeded.	True	2764.145	2738.98	521.206	521.21
15	16	0.02599	ok	optimal	0.04145	2	Maximum number of function evaluations has been exceeded.	True	2198.586	2193.825	437.258	437.258
15	17	0.02748	ok	optimal	0.01379	1	Optimization terminated successfully.	True	3282.771	3282.678	499.763	499.763
15	18	0.03103	ok	optimal	0.04942	2	Maximum number of function evaluations has been exceeded.	True	3560.256	3547.013	640.166	640.166
15	19	0.0292	ok	optimal	0.01465	1	Optimization terminated successfully.	False	2100.049	2100.049	517.53	517.522
15	20	0.02901	ok	optimal	0.00935	1	Optimization terminated successfully.	False	2531.603	2531.602	310.962	310.976
15	21	0.03145	ok	optimal	0.00874	1	Optimization terminated successfully.	False	2910.389	2910.389	701.475	701.475
15	22	0.03041	ok	optimal	0.02301	1	Optimization terminated successfully.	False	2273.123	2273.123	369.264	369.274
15	23	0.03453	ok	optimal	0.01128	1	Optimization terminated successfully.	True	2630.553	2629.954	488.676	498.418
15	24	0.02836	ok	optimal	0.04496	2	Maximum number of function evaluations has been exceeded.	True	3155.17	3097.439	399.704	399.704
15	25	0.02588	ok	optimal	0.01979	1	Optimization terminated successfully.	True	2109.196	2108.91	402.941	402.941
15	26	0.0292	ok	optimal	0.01599	1	Optimization terminated successfully.	True	4175.648	4174.68	672.214	672.214
15	27	0.03422	ok	optimal	0.01479	1	Optimization terminated successfully.	False	3003.541	3003.541	639.523	639.518
15	28	0.0387	ok	optimal	0.05017	2	Maximum number of function evaluations has been exceeded.	True	2422.038	2418.056	357.99	357.99
15	29	0.02573	ok	optimal	0.04377	2	Maximum number of function evaluations has been exceeded.	True	3063.703	3057.562	632.492	632.492
20	0	0.03743	ok	optimal	0.02403	1	Optimization terminated successfully.	False	3729.864	3729.864	741.048	741.048
