N	pyomo_ipopt	pyomo_status	pyomo_message	scipy_cobyla	scipy_status	scipy_message	equal_answers	RTO_pyomo	RTO_scipy	MARGIN_pyomo	MARGIN_scipy
10	0.10771	ok	optimal	0.0095	1	Optimization terminated successfully.	False	1640.972	1640.972	431.913	431.924
15	0.03109	ok	optimal	0.01624	1	Optimization terminated successfully.	True	2735.192	2734.953	563.345	563.345
20	0.03926	ok	optimal	0.02536	1	Optimization terminated successfully.	False	3729.864	3729.864	741.048	741.048
25	0.04273	ok	optimal	0.11065	2	Maximum number of function evaluations has been exceeded.	True	4575.404	4564.275	1067.892	1067.892
30	0.0545	ok	optimal	0.12061	2	Maximum number of function evaluations has been exceeded.	True	4902.652	4894.871	1082.834	1082.838
35	0.05321	ok	optimal	0.11691	1	Optimization terminated successfully.	True	6185.531	6182.967	1399.51	1399.51
40	0.04489	ok	optimal	0.21946	2	Maximum number of function evaluations has been exceeded.	True	6929.929	6905.588	1325.705	1325.705
45	0.05261	ok	optimal	0.36762	1	Optimization terminated successfully.	True	8549.47	8549.045	1325.961	1325.961
50	0.0517	ok	optimal	0.4621	1	Optimization terminated successfully.	True	8896.671	8896.648	1740.467	1740.467
55	0.05427	ok	optimal	0.57166	2	Maximum number of function evaluations has been exceeded.	True	10940.573	10934.413	2179.652	2179.652
60	0.04832	ok	optimal	0.60264	2	Maximum number of function evaluations has been exceeded.	True	11593.611	11465.01	2202.909	2202.909
65	0.04653	ok	optimal	0.81711	2	Maximum number of function evaluations has been exceeded.	True	12995.62	12964.569	2329.107	2329.107
70	0.0519	ok	optimal	1.05193	2	Maximum number of function evaluations has been exceeded.	True	12898.17	12825.38	2308.997	2308.997
75	0.05973	ok	optimal	1.24627	2	Maximum number of function evaluations has been exceeded.	True	14843.747	14706.34	2611.475	2611.479
80	0.07173	ok	optimal	2.30458	2	Maximum number of function evaluations has been exceeded.	True	15496.266	15326.413	2708.335	2708.344
85	0.09308	ok	optimal	2.6849	2	Maximum number of function evaluations has been exceeded.	True	17960.609	17861.655	2830.957	2830.957
90	0.09239	ok	optimal	2.95906	2	Maximum number of function evaluations has been exceeded.	True	18114.397	17948.399	2809.605	2809.613
95	0.10754	ok	optimal	4.31906	2	Maximum number of function evaluations has been exceeded.	True	18760.399	18645.869	3057.669	3057.669
100	0.10125	ok	optimal	3.71131	2	Maximum number of function evaluations has been exceeded.	True	18905.315	18634.311	3162.933	3162.969
105	0.09287	ok	optimal	3.88741	2	Maximum number of function evaluations has been exceeded.	True	20233.897	20054.278	3353.911	3353.911
110	0.09648	ok	optimal	5.70036	2	Maximum number of function evaluations has been exceeded.	True	21320.846	21312.568	3589.214	3589.26
115	0.13983	ok	optimal	0.05331	4	Did not converge to a solution satisfying the constraints. See `maxcv` for magnitude of violation.	True	21881.849	19171.713	3639.02	3638.877
120	0.1175	ok	optimal	6.35117	2	Maximum number of function evaluations has been exceeded.	True	22573.165	22552.845	3715.927	3715.974
125	0.0771	ok	optimal	6.83441	2	Maximum number of function evaluations has been exceeded.	True	21935.424	21915.255	3844.884	3844.896
130	0.07642	ok	optimal	0.11045	5	NaN result encountered.	True	24255.591	22882.227	4232.529	4317.36
135	0.10236	ok	optimal	8.15631	2	Maximum number of function evaluations has been exceeded.	True	24665.562	24429.53	3883.059	3883.296
140	0.0832	ok	optimal	10.4229	2	Maximum number of function evaluations has been exceeded.	True	25380.927	24966.728	4588.419	4590.046
145	0.15546	ok	optimal	0.1017	5	NaN result encountered.	True	26418.134	22963.275	4339.182	4357.4
150	0.15878	ok	optimal	17.8239	2	Maximum number of function evaluations has been exceeded.	True	27542.343	27425.159	5695.86	5698.952
155	0.18127	ok	optimal	14.20058	2	Maximum number of function evaluations has been exceeded.	True	30184.78	30159.969	5123.504	5123.758
160	0.09418	ok	optimal	14.25421	2	Maximum number of function evaluations has been exceeded.	True	30107.174	30060.023	5841.056	5841.304
165	0.08214	ok	optimal	0.18893	4	Did not converge to a solution satisfying the constraints. See `maxcv` for magnitude of violation.	True	32551.542	31853.394	5602.058	5601.842
170	0.13545	ok	optimal	0.32439	5	NaN result encountered.	True	33815.069	32746.081	6536.792	6734.434
175	0.09033	ok	optimal	16.65159	2	Maximum number of function evaluations has been exceeded.	True	35453.534	34354.291	6377.109	6378.333
180	0.09354	ok	optimal	20.08853	2	Maximum number of function evaluations has been exceeded.	True	35984.456	35741.042	6860.08	6861.624
185	0.09977	ok	optimal	21.05056	2	Maximum number of function evaluations has been exceeded.	True	37557.219	37416.889	7040.02	7041.03
190	0.09808	ok	optimal	20.21426	2	Maximum number of function evaluations has been exceeded.	True	38210.709	37251.937	6734.268	6734.314
195	0.12152	ok	optimal	24.32203	2	Maximum number of function evaluations has been exceeded.	True	39183.322	39011.115	7234.242	7234.919
200	0.09687	ok	optimal	23.82031	4	Did not converge to a solution satisfying the constraints. See `maxcv` for magnitude of violation.	True	41392.047	39822.94	7566.338	7566.67
205	0.09412	ok	optimal	26.53703	2	Maximum number of function evaluations has been exceeded.	True	42502.311	41584.257	7583.507	7647.1
210	0.10927	ok	optimal	4.32498	5	NaN result encountered.	True	43764.502	41598.634	8177.744	8202.633
215	0.10656	ok	optimal	29.50422	2	Maximum number of function evaluations has been exceeded.	True	46847.252	44295.13	8076.599	8267.515
220	0.11136	ok	optimal	0.396	5	NaN result encountered.	True	47089.872	44048.119	7870.202	8163.407
225	0.10848	ok	optimal	35.79774	2	Maximum number of function evaluations has been exceeded.	True	49395.63	49035.84	7948.1	8068.419
230	0.1083	ok	optimal	37.15986	4	Did not converge to a solution satisfying the constraints. See `maxcv` for magnitude of violation.	True	48979.022	46565.636	8592.793	8599.995
235	0.11501	ok	optimal	42.44005	2	Maximum number of function evaluations has been exceeded.	True	49464.639	48868.261	9006.264	9035.077
240	0.11895	ok	optimal	0.50634	5	NaN result encountered.	True	50545.036	47930.626	9244.943	9518.024
245	0.11408	ok	optimal	0.55525	5	NaN result encountered.	True	51984.554	49090.77	9705.391	9904.302
250	0.16933	ok	optimal	0.57419	5	NaN result encountered.	True	52397.499	48925.223	9140.417	9818.515
